都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,名称,名称_カナ,住所,方書,緯度,経度,設置位置,電話番号,内線番号,法人番号,団体名,利用可能曜日,開始時間,終了時間,利用可能日時特記事項,小児対応設備の有無,URL,備考
303046,1,和歌山県,紀美野町,紀美野町役場本庁,キミノチョウヤクバホンチョウ,和歌山県海草郡紀美野町動木287,,34.167602,135.304921,玄関ホール,(073)489-2430,,,,月火水木金,8:30,17:15,,,https://www.town.kimino.wakayama.jp,
303046,2,和歌山県,紀美野町,紀美野町総合福祉センター,キミノチョウソウゴウフクシセンター,和歌山県海草郡紀美野町下佐々1408-4,,34.152771,135.310071,玄関ホール,(073)489-9960,,,,月火水木金,8:30,17:15,,,https://www.town.kimino.wakayama.jp/sagasu/hokenfukushika/fukusicenter/index.html,
303046,3,和歌山県,紀美野町,紀美野町役場美里支所,キミノチョウヤクバミサトシショ,和歌山県海草郡紀美野町神野市場226-1,,34.149836,135.355012,玄関ホール,(073)495-2021,,,,月火水木金,8:30,17:15,,,https://www.town.kimino.wakayama.jp,
303046,4,和歌山県,紀美野町,志賀野コミュニティセンター,シガノコミュニティセンター,和歌山県海草郡紀美野町西野21-1,,34.168072,135.352273,玄関ホール,,,,,,,,使用の予約があれば開錠,,,
303046,5,和歌山県,紀美野町,紀美野町役場国吉出張所,キミノチョウヤクバクニヨシシュッチョウジョ,和歌山県海草郡紀美野町田63,,34.139619,135.415415,事務所内,(073)498-0002,,,,月火水木金,8:30,17:00,,,http://www.town.kimino.wakayama.jp/sagasu/juminka/shinryojo/314.html,
303046,6,和歌山県,紀美野町,紀美野町役場長谷毛原出張所,キミノチョウヤクバハセケバラシュッチョウジョ,和歌山県海草郡紀美野町毛原宮254-5,,34.162355,135.461332,診療室内,(073)499-0300,,,,月火水木金,8:30,17:00,,,http://www.town.kimino.wakayama.jp/sagasu/juminka/shinryojo/314.html,
303046,7,和歌山県,紀美野町,紀美野町役場真国出張所,キミノチョウヤクバマクニシュッチョウジョ,和歌山県海草郡紀美野町真国宮32-2,,34.169633,135.374591,事務所内,(073)497-0002,,,,月火水木金,8:30,17:00,,,http://www.town.kimino.wakayama.jp/sagasu/juminka/shinryojo/314.html,
303046,8,和歌山県,紀美野町,紀美野町細野診療所,キミノチョウホソノシンリョウジョ,和歌山県海草郡紀美野町円明寺221-2,,34.168524,135.414358,事務所内,(073)497-0241,,,,金,13:00,15:00,,,http://www.town.kimino.wakayama.jp/sagasu/juminka/shinryojo/314.html,
303046,9,和歌山県,紀美野町,紀美野町立野上小学校,キミノチョウリツノカミショウガッコウ,和歌山県海草郡紀美野町動木1445,,34.163795,135.307577,職員室内,(073)489-2041,,,,月火水木金,8:15,16:45,,,http://www.nokamies.town.kimino.wakayama.jp/,
303046,10,和歌山県,紀美野町,紀美野町立小川小学校,キミノチョウリツオガワショウガッコウ,和歌山県海草郡紀美野町中田4,,34.131776,135.324503,職員室の前,(073)489-2402,,,,月火水木金,8:00,16:30,,,http://www.ogawaes.town.kimino.wakayama.jp/,
303046,11,和歌山県,紀美野町,紀美野町立下神野小学校,キミノチョウリツシモコウノショウガッコウ,和歌山県海草郡紀美野町神野市場214,,34.151266,135.352656,職員室内,(073)495-2019,,,,月火水木金,8:15,16:45,,,http://www.shimoes.town.kimino.wakayama.jp/,
303046,12,和歌山県,紀美野町,紀美野町立野上中学校,キミノチョウリツノカミチュウガッコウ,和歌山県海草郡紀美野町下佐々940,,34.154752,135.313756,職員室の前,(073)489-2459,,,,月火水木金,8:15,16:45,,,http://www.nokamijh.town.kimino.wakayama.jp/,
303046,13,和歌山県,紀美野町,紀美野町立美里中学校,キミノチョウリツミサトチュウガッコウ,和歌山県海草郡紀美野町野中494-1,,34.147672,135.349768,職員室の前,(073)495-2016,,,,月火水木金,8:15,16:45,,,http://www.misatojh.town.kimino.wakayama.jp/,
303046,14,和歌山県,紀美野町,紀美野町スポーツ公園管理棟,キミノチョウスポーツコウエンカンリトウ,和歌山県海草郡紀美野町動木518,,34.175024,135.308736,玄関内,(073)489-5368,,,,月水木金土日,17:00,22:00,土日祝日は9：00から22：00,,https://www.town.kimino.wakayama.jp/sagasu/kyoikuka/kominkan_taiikushisetsu/432.html,
303046,15,和歌山県,紀美野町,紀美野町農村総合センター,キミノチョウノウソンソウゴウセンター,和歌山県海草郡紀美野町野中387-1,,34.143536,135.351252,玄関ホール,(073)495-3212,,,,水木金土日,9:00,17:00,,,https://www.town.kimino.wakayama.jp/sagasu/kyoikuka/yakuba_kokyo_shisetsu_annai/379.html,
303046,16,和歌山県,紀美野町,紀美野町中央公民館,キミノチョウチュウオウコウミンカン,和歌山県海草郡紀美野町動木288-4,,34.167162,135.308128,玄関ホール,(073)489-2877,,,,月水木金土日,9:00,21:30,,,https://www.town.kimino.wakayama.jp/sagasu/kyoikuka/kominkan_taiikushisetsu/388.html,
303046,17,和歌山県,紀美野町,紀美野町文化センター,キミノチョウブンカセンター,和歌山県海草郡紀美野町神野市場217,,34.151521,135.352166,玄関ホール,(073)495-9055,,,,水木金土日,9:00,22:00,,,http://kimino-culture-c.holy.jp/,
303046,18,和歌山県,紀美野町,紀美野町星の動物園,キミノチョウホシノドウブツエン,和歌山県海草郡紀美野町松ヶ峰180,,34.144611,135.406343,事務所内,(073)498-0305,,,,水木金土日,14:00,22:00,,,http://www.obs.jp/,
303046,19,和歌山県,紀美野町,紀美野町立きみのこども園,キミノチョウリツキミノコドモエン,和歌山県海草郡紀美野町動木156,,34.164726,135.306312,玄関ホール,(073)489-2144,,,,月火水木金土,7:00,19:00,土は12：00まで,,https://www.town.kimino.wakayama.jp/sagasu/hokenfukushika/hoiku_kosodate/hoiku_shisetsu/1445.html,
303046,20,和歌山県,紀美野町,紀美野町立こうのこども園,キミノチョウリツコウノコドモエン,和歌山県海草郡紀美野町神野市場216,,34.150256,135.352274,玄関ホール,(073)495-2049,,,,月火水木金土,7:00,19:00,土は12：00まで,,https://www.town.kimino.wakayama.jp/sagasu/hokenfukushika/hoiku_kosodate/hoiku_shisetsu/1445.html,
303046,21,和歌山県,紀美野町,紀美野町のかみふれあい公園,キミノチョウノカミフレアイコウエン,和歌山県海草郡紀美野町西野971-1,,34.179839,135.348351,ふれあい館内,(073)489-5300,,,,月水木金土日,9:00,17:00,,,https://www.town.kimino.wakayama.jp/sagasu/sangyoka/kankosangyo/fureai_park/114.html,
303046,22,和歌山県,紀美野町,紀美野町山の家おいし,キミノチョウヤマノイエオイシ,和歌山県海草郡紀美野町中田899-29,,34.105345,135.326636,玄関入口,(073)489-3586,,,,月火水木金土日,9:30,16:30,,,https://www.town.kimino.wakayama.jp/sagasu/sangyoka/kankosangyo/oishikogen/1822.html,
303046,23,和歌山県,紀美野町,美里の湯かじか荘,ミサトノユカジカソウ,和歌山県海草郡紀美野町菅沢6,,34.139555,135.410091,フロント,(073)498-0102,,,,月水木金土日,0:00,23:59,,,http://niunomiyako.com/,
303046,24,和歌山県,紀美野町,五色台聖苑,ゴシキダイセイエン,和歌山県海草郡紀美野町国木原577-4,,34.111121,135.202124,管理棟,(073)489-5505,,,,月火水木金土日,8:30,17:15,,,https://goshikidai.jp/,
303046,25,和歌山県,紀美野町,国保野上厚生総合病院,コクホノカミコウセイソウゴウビョウイン,和歌山県海草郡紀美野町小畑198,,34.937274,135.175321,本館,(073)489-2178,,,,月火水木金土日,0:00,23:59,,,http://www.nokami-hospital.jp/,
303046,26,和歌山県,紀美野町,国保野上厚生総合病院付属看護専門学校,コクホノカミコウセイソウゴウビョウインフゾクカンゴセンモンガッコウ,和歌山県海草郡紀美野町165-4,,34.933171,135.175151,玄関ホール,(073)489-8500,,,,月火水木金,8:30,17:15,,,http://nokami-nursing.jp/,
303046,27,和歌山県,紀美野町,和歌山県動物愛護センター,ワカヤマケンドウブツアイゴセンター,和歌山県海草郡紀美野町国木原372,,34.104253,135.211356,管理棟,(073)489-6500,,,,月水木金土日,10:00,17:00,,,https://www.pref.wakayama.lg.jp/prefg/031601/animal.html,
303046,28,和歌山県,紀美野町,和歌山県立海南高等学校美里分校,ワカヤマケンリツカイナンコウトウガッコウミサトブンコウ,和歌山県海草郡紀美野町毛原中689,,34.910361,135.272273,玄関ホール,(073)499-0034,,,,月火水木金,8:20,16:50,,,https://www.taisei-h-b.wakayama-c.ed.jp/,
303046,29,和歌山県,紀美野町,紀美野町スポーツ公園体育館,キミノチョウスポーツコウエンタイイクカン,和歌山県海草郡紀美野町小畑853-2,,34.101939,135.183867,体育館内,(073)489-5368,,,,月水木金土日,17:00,22:00,土日祝日は9：00から22：00,,https://www.town.kimino.wakayama.jp/sagasu/kyoikuka/kominkan_taiikushisetsu/432.html,
303046,30,和歌山県,紀美野町,和歌山県立海南高等学校大成校舎（体育館棟）,ワカヤマケンリツカイナンコウトウガッコウタイセイコウシャ（タイイクカントウ）,和歌山県海草郡紀美野町動木1515,,34.936891,135.182595,体育館棟,(073)489-2069,,,,月火水木金,8:20,16:50,,,https://www.taisei-h.wakayama-c.ed.jp/,
303046,31,和歌山県,紀美野町,和歌山県立海南高等学校大成校舎（校舎棟）,ワカヤマケンリツカイナンコウトウガッコウタイセイコウシャ（コウシャトウ）,和歌山県海草郡紀美野町動木1515,,34.936672,135.182882,玄関ホール,(073)489-2069,,,,月火水木金,8:20,16:50,,,https://www.taisei-h.wakayama-c.ed.jp/,
